HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice,ApartmentAge,TotalNearbyFacilities,ParkingToSizeRatio
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1643,349557,9,5.0,0.772976262933658
1,2,5,1.0,5.0,4.0,79.0,1992,3,644,159292,24,10.0,0.12267080745341614
2,3,3,0.0,3.0,2.0,400.0,2015,7,644,278761,1,5.0,0.6211180124223602
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,250000,23,16.0,0.5864332603938731
2,0,6,0.0,3.0,2.0,475.0,2008,8,829,255752,8,5.0,0.5729794933655006
2,0,6,0.0,1.0,2.0,536.0,2006,5,1437,256637,10,3.0,0.3729993041057759
2,3,7,0.0,1.0,1.0,1321.0,2015,10,644,300884,1,2.0,2.051242236024845
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,91150,23,16.0,0.8322981366459627
0,3,3,2.0,5.0,0.0,76.0,1985,3,587,131415,31,7.0,0.12947189097103917
2,0,5,2.0,3.0,1.0,181.0,2006,4,903,168141,10,6.0,0.20044296788482835
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,143238,3,8.0,1.4440993788819876
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,322123,9,5.0,1.4631336405529953
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,91592,23,16.0,0.8322981366459627
2,0,1,0.0,2.0,2.0,524.0,2007,4,914,287610,9,4.0,0.5733041575492341
1,2,5,1.0,5.0,4.0,79.0,1992,3,644,83185,24,10.0,0.12267080745341614
2,0,1,0.0,2.0,2.0,524.0,2007,4,1103,225663,9,4.0,0.47506799637352676
2,1,4,1.0,5.0,1.0,0.0,1986,4,1131,296460,30,7.0,0.0
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,75920,11,14.0,1.3951048951048952
2,0,1,0.0,4.0,1.0,605.0,2007,5,1444,406194,9,5.0,0.41897506925207756
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1643,408849,9,5.0,0.772976262933658
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,106194,23,16.0,0.5864332603938731
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,141592,11,14.0,1.3951048951048952
2,0,5,5.0,7.0,5.0,1174.0,2014,9,907,340707,2,17.0,1.2943770672546857
2,0,6,0.0,3.0,2.0,475.0,2008,8,914,252212,8,5.0,0.5196936542669585
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,117699,23,16.0,0.8322981366459627
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,154424,11,14.0,0.8730853391684902
0,3,6,1.0,5.0,2.0,18.0,1986,3,910,150442,30,8.0,0.01978021978021978
2,1,4,1.0,2.0,2.0,184.0,2006,5,910,243362,10,5.0,0.2021978021978022
2,1,4,1.0,5.0,1.0,0.0,1986,4,1796,300884,30,7.0,0.0
2,1,4,1.0,5.0,1.0,0.0,1986,4,1131,174336,30,7.0,0.0
1,2,5,5.0,6.0,5.0,536.0,1993,4,1761,203539,23,16.0,0.3043725156161272
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,255442,3,8.0,1.021978021978022
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,263345,3,8.0,1.021978021978022
2,0,1,0.0,4.0,1.0,605.0,2007,5,1690,435398,9,5.0,0.35798816568047337
2,0,5,2.0,3.0,1.0,181.0,2006,4,903,210619,10,6.0,0.20044296788482835
2,1,4,1.0,5.0,1.0,0.0,1986,4,914,147787,30,7.0,0.0
2,0,6,0.0,3.0,2.0,475.0,2008,8,829,161946,8,5.0,0.5729794933655006
0,1,5,5.0,7.0,5.0,0.0,1992,3,576,64601,24,17.0,0.0
0,3,1,0.0,3.0,2.0,108.0,2014,2,288,98761,2,5.0,0.375
0,1,5,5.0,7.0,5.0,0.0,1992,3,644,95132,24,17.0,0.0
2,0,6,0.0,1.0,2.0,536.0,2006,5,914,324778,10,3.0,0.5864332603938731
0,3,3,2.0,5.0,0.0,76.0,1985,3,498,61946,31,7.0,0.15261044176706828
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,130088,23,16.0,0.5864332603938731
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,119469,23,16.0,0.5864332603938731
2,4,7,2.0,2.0,1.0,203.0,2009,5,910,201672,7,5.0,0.2230769230769231
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,83185,23,16.0,0.8322981366459627
0,1,5,5.0,7.0,5.0,0.0,1992,3,355,34513,24,17.0,0.0
0,1,5,5.0,7.0,5.0,0.0,1992,3,576,63716,24,17.0,0.0
2,1,4,1.0,5.0,1.0,0.0,1986,4,1131,302654,30,7.0,0.0
2,4,7,2.0,2.0,1.0,203.0,2009,5,910,187610,7,5.0,0.2230769230769231
2,1,4,1.0,5.0,1.0,0.0,1986,4,1796,371681,30,7.0,0.0
0,1,5,5.0,7.0,5.0,0.0,1992,3,576,60176,24,17.0,0.0
2,0,6,0.0,1.0,2.0,536.0,2006,5,1412,371681,10,3.0,0.37960339943342775
0,3,7,1.0,4.0,1.0,218.0,2014,1,156,60176,2,6.0,1.3974358974358974
2,0,6,0.0,1.0,2.0,536.0,2006,5,1412,323893,10,3.0,0.37960339943342775
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,97345,11,14.0,1.3951048951048952
0,3,3,2.0,5.0,0.0,76.0,1985,3,587,55752,31,7.0,0.12947189097103917
2,0,5,5.0,7.0,5.0,1174.0,2014,9,843,292035,2,17.0,1.3926453143534994
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,75920,11,14.0,1.3951048951048952
2,4,7,2.0,2.0,1.0,203.0,2009,5,910,190265,7,5.0,0.2230769230769231
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,270796,11,14.0,0.8730853391684902
1,2,5,5.0,6.0,5.0,536.0,1993,4,1761,212389,23,16.0,0.3043725156161272
2,1,4,1.0,5.0,1.0,0.0,1986,4,1313,181415,30,7.0,0.0
2,0,1,0.0,2.0,2.0,524.0,2007,4,1366,281592,9,4.0,0.383601756954612
2,0,1,0.0,4.0,1.0,605.0,2007,5,1690,465486,9,5.0,0.35798816568047337
2,0,5,5.0,7.0,5.0,1174.0,2014,9,640,262831,2,17.0,1.834375
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,150442,23,16.0,0.5864332603938731
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1643,415929,9,5.0,0.772976262933658
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,194690,9,5.0,1.4631336405529953
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,318584,3,8.0,1.021978021978022
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1643,469026,9,5.0,0.772976262933658
2,0,1,0.0,4.0,1.0,605.0,2007,5,1273,317699,9,5.0,0.4752553024351925
0,1,5,5.0,7.0,5.0,0.0,1992,3,355,69026,24,17.0,0.0
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,74256,11,14.0,1.3951048951048952
0,1,5,5.0,7.0,5.0,0.0,1992,3,576,138053,24,17.0,0.0
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,195575,11,14.0,1.3951048951048952
1,2,2,1.0,7.0,3.0,56.0,1997,5,644,86725,19,11.0,0.08695652173913043
0,1,5,5.0,7.0,5.0,0.0,1992,3,355,36283,24,17.0,0.0
2,1,4,1.0,5.0,1.0,0.0,1986,4,1131,265486,30,7.0,0.0
0,1,5,5.0,7.0,5.0,0.0,1992,3,355,51327,24,17.0,0.0
2,1,4,1.0,2.0,2.0,184.0,2006,5,910,181415,10,5.0,0.2021978021978022
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,149274,3,8.0,1.4440993788819876
2,0,6,0.0,1.0,2.0,536.0,2006,5,1412,396460,10,3.0,0.37960339943342775
2,1,4,1.0,5.0,1.0,0.0,1986,4,1313,238938,30,7.0,0.0
2,0,6,0.0,3.0,2.0,475.0,2008,8,914,234513,8,5.0,0.5196936542669585
1,3,0,5.0,5.0,4.0,798.0,2005,7,743,199115,11,14.0,1.0740242261103634
0,3,6,1.0,5.0,2.0,18.0,1986,3,508,108849,30,8.0,0.03543307086614173
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,84955,23,16.0,0.8322981366459627
2,0,6,0.0,3.0,2.0,475.0,2008,8,914,236283,8,5.0,0.5196936542669585
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,280530,11,14.0,0.8730853391684902
0,1,5,5.0,7.0,5.0,0.0,1992,3,355,38053,24,17.0,0.0
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,127433,23,16.0,0.5864332603938731
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,150778,3,8.0,1.4440993788819876
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1643,508849,9,5.0,0.772976262933658
2,0,5,2.0,3.0,1.0,181.0,2006,4,903,279646,10,6.0,0.20044296788482835
2,0,1,0.0,4.0,1.0,605.0,2007,5,1444,295575,9,5.0,0.41897506925207756
0,3,6,1.0,5.0,2.0,18.0,1986,3,508,108407,30,8.0,0.03543307086614173
2,0,6,0.0,1.0,2.0,536.0,2006,5,1412,265486,10,3.0,0.37960339943342775
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1387,312389,9,5.0,0.9156452775775054
2,0,1,0.0,4.0,1.0,605.0,2007,5,1483,370796,9,5.0,0.4079568442346595
2,0,1,0.0,2.0,2.0,524.0,2007,4,1366,290000,9,4.0,0.383601756954612
2,0,1,0.0,2.0,2.0,524.0,2007,4,1103,247787,9,4.0,0.47506799637352676
1,3,0,5.0,5.0,4.0,798.0,2005,7,1184,201769,11,14.0,0.6739864864864865
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1643,360176,9,5.0,0.772976262933658
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,233628,9,5.0,1.4631336405529953
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1643,408849,9,5.0,0.772976262933658
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,127433,23,16.0,0.5864332603938731
2,1,4,1.0,2.0,2.0,184.0,2006,5,910,296460,10,5.0,0.2021978021978022
2,0,1,0.0,4.0,1.0,605.0,2007,5,1483,387610,9,5.0,0.4079568442346595
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,172566,23,16.0,0.5864332603938731
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,238938,9,5.0,1.4631336405529953
2,0,1,0.0,4.0,1.0,605.0,2007,5,1690,462831,9,5.0,0.35798816568047337
2,1,4,1.0,2.0,2.0,184.0,2006,5,811,199115,10,5.0,0.22688039457459927
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,176991,23,16.0,0.8322981366459627
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,309734,3,8.0,1.021978021978022
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,144752,3,8.0,1.4440993788819876
1,2,5,5.0,6.0,5.0,536.0,1993,4,1451,163716,23,16.0,0.3694004135079256
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,215486,9,5.0,1.4631336405529953
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,209734,9,5.0,1.4631336405529953
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,222123,23,16.0,0.5864332603938731
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,73840,11,14.0,1.3951048951048952
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,246017,23,16.0,0.5864332603938731
0,0,4,0.0,3.0,2.0,0.0,1978,3,779,201769,38,5.0,0.0
2,3,7,0.0,1.0,1.0,1321.0,2015,10,1035,455752,1,2.0,1.276328502415459
2,0,1,0.0,4.0,1.0,605.0,2007,5,1334,357522,9,5.0,0.4535232383808096
2,1,4,1.0,2.0,2.0,184.0,2006,5,910,284070,10,5.0,0.2021978021978022
0,0,4,0.0,3.0,2.0,0.0,1978,3,903,130088,38,5.0,0.0
2,1,4,1.0,2.0,2.0,184.0,2006,5,910,209734,10,5.0,0.2021978021978022
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,202654,11,14.0,1.3951048951048952
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,147761,3,8.0,1.4440993788819876
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,121238,23,16.0,0.5864332603938731
2,0,5,5.0,7.0,5.0,1174.0,2014,9,907,327433,2,17.0,1.2943770672546857
2,0,5,5.0,7.0,5.0,1174.0,2014,9,910,333628,2,17.0,1.2901098901098902
2,1,4,1.0,2.0,2.0,184.0,2006,5,910,283185,10,5.0,0.2021978021978022
2,1,4,1.0,5.0,1.0,0.0,1986,4,914,184955,30,7.0,0.0
2,0,6,0.0,1.0,2.0,536.0,2006,5,1437,247787,10,3.0,0.3729993041057759
2,0,1,0.0,0.0,0.0,203.0,2014,10,914,362831,2,0.0,0.22210065645514224
2,0,6,0.0,1.0,2.0,536.0,2006,5,1412,432743,10,3.0,0.37960339943342775
2,0,1,0.0,2.0,2.0,524.0,2007,4,1394,291238,9,4.0,0.37589670014347204
0,1,5,5.0,7.0,5.0,0.0,1992,3,355,35840,24,17.0,0.0
2,1,4,1.0,5.0,1.0,0.0,1986,4,914,246017,30,7.0,0.0
2,0,4,0.0,5.0,3.0,930.0,2013,7,426,103663,3,8.0,2.183098591549296
2,3,7,0.0,1.0,1.0,1321.0,2015,10,914,407079,1,2.0,1.4452954048140043
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,152212,11,14.0,0.8730853391684902
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,260707,3,8.0,1.021978021978022
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,146256,3,8.0,1.4440993788819876
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,75920,11,14.0,1.3951048951048952
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,141884,3,8.0,1.4440993788819876
2,0,6,0.0,3.0,2.0,475.0,2008,8,829,203539,8,5.0,0.5729794933655006
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,257654,3,8.0,1.021978021978022
1,2,5,5.0,6.0,5.0,536.0,1993,4,1288,309734,23,16.0,0.4161490683229814
2,0,4,0.0,5.0,3.0,930.0,2013,7,426,103663,3,8.0,2.183098591549296
2,0,5,2.0,3.0,1.0,181.0,2006,4,903,153097,10,6.0,0.20044296788482835
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,159292,11,14.0,0.8730853391684902
2,0,5,5.0,7.0,5.0,1174.0,2014,9,640,274336,2,17.0,1.834375
0,1,5,5.0,7.0,5.0,0.0,1992,3,355,38938,24,17.0,0.0
2,1,4,1.0,5.0,1.0,0.0,1986,4,914,256637,30,7.0,0.0
2,0,4,0.0,5.0,3.0,930.0,2013,7,907,252814,3,8.0,1.0253583241455346
2,0,6,0.0,3.0,2.0,475.0,2008,8,914,172566,8,5.0,0.5196936542669585
2,0,1,0.0,2.0,2.0,524.0,2007,4,1103,221238,9,4.0,0.47506799637352676
2,1,4,1.0,5.0,1.0,0.0,1986,4,1377,168141,30,7.0,0.0
2,0,1,0.0,4.0,1.0,605.0,2007,5,1629,432743,9,5.0,0.37139349294045426
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1643,345902,9,5.0,0.772976262933658
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,147761,3,8.0,1.4440993788819876
2,1,4,1.0,5.0,1.0,0.0,1986,4,1131,178761,30,7.0,0.0
2,0,5,2.0,3.0,1.0,181.0,2006,4,903,160176,10,6.0,0.20044296788482835
1,3,0,5.0,5.0,4.0,798.0,2005,7,743,178761,11,14.0,1.0740242261103634
2,0,1,0.0,4.0,1.0,605.0,2007,5,1483,408849,9,5.0,0.4079568442346595
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,165486,23,16.0,0.5864332603938731
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,115044,23,16.0,0.5864332603938731
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,140380,3,8.0,1.4440993788819876
2,0,6,0.0,1.0,2.0,536.0,2006,5,1743,340707,10,3.0,0.30751577739529545
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,268141,9,5.0,1.4631336405529953
1,2,5,5.0,6.0,5.0,536.0,1993,4,1761,309734,23,16.0,0.3043725156161272
2,0,1,0.0,2.0,2.0,524.0,2007,4,1394,362831,9,4.0,0.37589670014347204
2,0,6,0.0,1.0,2.0,536.0,2006,5,1412,262831,10,3.0,0.37960339943342775
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,99115,23,16.0,0.8322981366459627
2,3,7,0.0,1.0,1.0,1321.0,2015,10,910,392920,1,2.0,1.4516483516483516
2,0,1,0.0,2.0,2.0,524.0,2007,4,1103,269911,9,4.0,0.47506799637352676
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,149274,3,8.0,1.4440993788819876
0,1,5,5.0,7.0,5.0,0.0,1992,3,355,70353,24,17.0,0.0
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,123893,23,16.0,0.5864332603938731
2,0,1,0.0,2.0,2.0,524.0,2007,4,914,287610,9,4.0,0.5733041575492341
2,0,5,2.0,3.0,1.0,181.0,2006,4,903,297787,10,6.0,0.20044296788482835
2,0,5,5.0,7.0,5.0,1174.0,2014,9,846,325221,2,17.0,1.387706855791962
2,0,6,0.0,3.0,2.0,475.0,2008,8,829,292035,8,5.0,0.5729794933655006
1,2,5,1.0,5.0,4.0,79.0,1992,3,644,107964,24,10.0,0.12267080745341614
2,0,5,5.0,7.0,5.0,1174.0,2014,9,843,335398,2,17.0,1.3926453143534994
2,1,4,1.0,5.0,1.0,0.0,1986,4,914,149292,30,7.0,0.0
1,2,5,1.0,5.0,4.0,79.0,1992,3,644,92920,24,10.0,0.12267080745341614
2,0,1,0.0,4.0,1.0,605.0,2007,5,1334,326548,9,5.0,0.4535232383808096
2,4,7,2.0,2.0,1.0,203.0,2009,5,910,230088,7,5.0,0.2230769230769231
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,247787,23,16.0,0.5864332603938731
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,228318,23,16.0,0.5864332603938731
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,231858,23,16.0,0.5864332603938731
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,334513,9,5.0,1.4631336405529953
0,1,5,5.0,7.0,5.0,0.0,1992,3,576,74336,24,17.0,0.0
2,4,7,2.0,2.0,1.0,203.0,2009,5,910,203646,7,5.0,0.2230769230769231
2,3,7,0.0,1.0,1.0,1321.0,2015,10,914,384955,1,2.0,1.4452954048140043
2,0,1,0.0,4.0,1.0,605.0,2007,5,1483,393805,9,5.0,0.4079568442346595
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,212389,9,5.0,1.4631336405529953
0,1,5,5.0,7.0,5.0,0.0,1992,3,355,68141,24,17.0,0.0
0,1,5,5.0,7.0,5.0,0.0,1992,3,640,74778,24,17.0,0.0
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,207079,9,5.0,1.4631336405529953
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,75920,11,14.0,1.3951048951048952
2,0,1,0.0,4.0,1.0,605.0,2007,5,1690,422123,9,5.0,0.35798816568047337
2,0,6,0.0,1.0,2.0,536.0,2006,5,1149,300884,10,3.0,0.46649260226283723
2,4,7,2.0,2.0,1.0,203.0,2009,5,1160,210619,7,5.0,0.175
1,3,0,5.0,5.0,4.0,798.0,2005,7,743,193805,11,14.0,1.0740242261103634
2,0,6,0.0,1.0,2.0,536.0,2006,5,818,165486,10,3.0,0.6552567237163814
2,1,4,1.0,5.0,1.0,0.0,1986,4,1796,243362,30,7.0,0.0
2,4,7,2.0,2.0,1.0,203.0,2009,5,910,207044,7,5.0,0.2230769230769231
2,0,6,0.0,1.0,2.0,536.0,2006,5,1743,274336,10,3.0,0.30751577739529545
2,0,1,0.0,4.0,1.0,605.0,2007,5,1629,432743,9,5.0,0.37139349294045426
2,4,7,2.0,2.0,1.0,203.0,2009,5,910,207044,7,5.0,0.2230769230769231
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,157964,23,16.0,0.8322981366459627
1,3,0,5.0,5.0,4.0,798.0,2005,7,743,189115,11,14.0,1.0740242261103634
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,207964,9,5.0,1.4631336405529953
2,1,4,1.0,2.0,2.0,184.0,2006,5,910,264159,10,5.0,0.2021978021978022
2,0,6,0.0,3.0,2.0,475.0,2008,8,914,254867,8,5.0,0.5196936542669585
0,3,6,1.0,5.0,2.0,18.0,1986,3,508,65486,30,8.0,0.03543307086614173
2,4,7,2.0,2.0,1.0,203.0,2009,5,910,274336,7,5.0,0.2230769230769231
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,150778,3,8.0,1.4440993788819876
1,2,5,1.0,5.0,4.0,79.0,1992,3,644,159292,24,10.0,0.12267080745341614
2,0,6,0.0,1.0,2.0,536.0,2006,5,1437,346902,10,3.0,0.3729993041057759
2,0,5,2.0,3.0,1.0,181.0,2006,4,903,163716,10,6.0,0.20044296788482835
2,1,4,1.0,2.0,2.0,184.0,2006,5,910,179646,10,5.0,0.2021978021978022
2,0,4,0.0,5.0,3.0,930.0,2013,7,426,103663,3,8.0,2.183098591549296
2,4,7,2.0,2.0,1.0,203.0,2009,5,1160,188265,7,5.0,0.175
1,2,5,5.0,6.0,5.0,536.0,1993,4,1451,176991,23,16.0,0.3694004135079256
1,2,5,1.0,5.0,4.0,79.0,1992,3,914,184955,24,10.0,0.08643326039387308
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1387,338053,9,5.0,0.9156452775775054
1,2,2,1.0,7.0,3.0,56.0,1997,5,644,88495,19,11.0,0.08695652173913043
1,3,0,5.0,5.0,4.0,798.0,2005,7,743,148672,11,14.0,1.0740242261103634
2,0,6,0.0,1.0,2.0,536.0,2006,5,1412,273451,10,3.0,0.37960339943342775
2,1,4,1.0,2.0,2.0,184.0,2006,5,636,178318,10,5.0,0.2893081761006289
2,0,6,0.0,1.0,2.0,536.0,2006,5,1149,294690,10,3.0,0.46649260226283723
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,106194,23,16.0,0.5864332603938731
0,1,5,5.0,7.0,5.0,0.0,1992,3,576,61946,24,17.0,0.0
2,1,4,1.0,5.0,1.0,0.0,1986,4,1131,166371,30,7.0,0.0
1,3,0,5.0,5.0,4.0,798.0,2005,7,743,147787,11,14.0,1.0740242261103634
2,0,6,0.0,3.0,2.0,475.0,2008,8,829,164601,8,5.0,0.5729794933655006
0,1,5,5.0,7.0,5.0,0.0,1992,3,355,49557,24,17.0,0.0
2,3,7,0.0,1.0,1.0,1321.0,2015,10,910,394690,1,2.0,1.4516483516483516
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,162743,23,16.0,0.8322981366459627
2,0,5,2.0,3.0,1.0,181.0,2006,4,903,296460,10,6.0,0.20044296788482835
0,3,6,1.0,5.0,2.0,18.0,1986,3,508,84070,30,8.0,0.03543307086614173
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,185840,11,14.0,0.8730853391684902
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,82743,23,16.0,0.8322981366459627
2,1,4,1.0,5.0,1.0,0.0,1986,4,1377,207964,30,7.0,0.0
1,2,2,1.0,7.0,3.0,56.0,1997,5,644,63716,19,11.0,0.08695652173913043
2,0,6,0.0,1.0,2.0,536.0,2006,5,1412,265486,10,3.0,0.37960339943342775
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,262831,3,8.0,1.021978021978022
0,0,4,0.0,3.0,2.0,0.0,1978,3,903,156637,38,5.0,0.0
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,159292,23,16.0,0.5864332603938731
2,4,7,2.0,2.0,1.0,203.0,2009,5,910,190265,7,5.0,0.2230769230769231
1,3,0,5.0,5.0,4.0,798.0,2005,7,743,241592,11,14.0,1.0740242261103634
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1387,328318,9,5.0,0.9156452775775054
2,4,7,2.0,2.0,1.0,203.0,2009,5,1160,292035,7,5.0,0.175
1,2,2,1.0,7.0,3.0,56.0,1997,5,558,66371,19,11.0,0.1003584229390681
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,159292,23,16.0,0.8322981366459627
2,3,7,0.0,1.0,1.0,1321.0,2015,10,910,398230,1,2.0,1.4516483516483516
2,1,4,1.0,2.0,2.0,184.0,2006,5,814,180530,10,5.0,0.22604422604422605
2,0,5,2.0,3.0,1.0,181.0,2006,4,903,199115,10,6.0,0.20044296788482835
1,2,2,1.0,7.0,3.0,56.0,2003,5,907,175221,13,11.0,0.06174200661521499
1,2,5,1.0,5.0,4.0,79.0,1992,3,914,106194,24,10.0,0.08643326039387308
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,330973,3,8.0,1.021978021978022
2,1,4,1.0,5.0,1.0,0.0,1986,4,914,141592,30,7.0,0.0
1,3,0,5.0,5.0,4.0,798.0,2005,7,743,143362,11,14.0,1.0740242261103634
2,0,1,0.0,4.0,1.0,605.0,2007,5,1690,462831,9,5.0,0.35798816568047337
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1387,486725,9,5.0,0.9156452775775054
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,151327,11,14.0,1.3951048951048952
1,2,5,5.0,6.0,5.0,536.0,1993,4,1451,174336,23,16.0,0.3694004135079256
0,1,5,5.0,7.0,5.0,0.0,1992,3,576,61946,24,17.0,0.0
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1387,464601,9,5.0,0.9156452775775054
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,149274,3,8.0,1.4440993788819876
2,0,4,0.0,5.0,3.0,930.0,2013,7,426,103663,3,8.0,2.183098591549296
2,0,6,0.0,3.0,2.0,475.0,2008,8,829,230088,8,5.0,0.5729794933655006
2,0,1,0.0,2.0,2.0,524.0,2007,4,1103,256637,9,4.0,0.47506799637352676
2,0,6,0.0,1.0,2.0,536.0,2006,5,1412,288495,10,3.0,0.37960339943342775
0,1,5,5.0,7.0,5.0,0.0,1992,3,576,132743,24,17.0,0.0
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,255442,3,8.0,1.021978021978022
2,0,1,0.0,2.0,2.0,524.0,2007,4,1103,209911,9,4.0,0.47506799637352676
0,1,5,5.0,7.0,5.0,0.0,1992,3,640,119469,24,17.0,0.0
2,1,4,1.0,5.0,1.0,0.0,1986,4,914,184070,30,7.0,0.0
1,2,5,1.0,5.0,4.0,79.0,1992,3,1448,274336,24,10.0,0.054558011049723756
2,3,7,0.0,1.0,1.0,1321.0,2015,10,914,380530,1,2.0,1.4452954048140043
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,268141,9,5.0,1.4631336405529953
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1643,389380,9,5.0,0.772976262933658
1,3,0,5.0,5.0,4.0,798.0,2005,7,743,199115,11,14.0,1.0740242261103634
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,73840,11,14.0,1.3951048951048952
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,327433,9,5.0,1.4631336405529953
2,0,1,0.0,4.0,1.0,605.0,2007,5,1690,408849,9,5.0,0.35798816568047337
2,0,4,0.0,5.0,3.0,930.0,2013,7,907,314159,3,8.0,1.0253583241455346
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,75504,11,14.0,1.3951048951048952
1,3,0,5.0,5.0,4.0,798.0,2005,7,743,124778,11,14.0,1.0740242261103634
2,0,1,0.0,4.0,1.0,605.0,2007,5,1483,348672,9,5.0,0.4079568442346595
